brand,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,ratio,pixel,GPU,Loudspeaker,3.5mm jack,Chipset,Card slot,RAM,Storage
0,True,True,False,2016.0,2,163.9,150.9,77.0,8.1,2,1,5.5,267.0,71.8,0,2500.0,80.0,4.0,1,921600.0,0,True,True,7,7,2.0,16.0
0,True,True,False,2015.0,2,140.0,145.0,69.2,7.0,2,0,5.0,294.0,68.7,0,2150.0,200.0,8.0,1,921600.0,0,True,True,7,7,2.0,16.0
0,True,False,False,2016.0,2,148.0,140.7,72.7,9.5,0,1,5.0,196.0,67.3,0,2000.0,60.0,4.0,1,409920.0,0,True,True,7,6,1.0,8.0
0,True,True,False,2016.0,2,157.0,152.6,76.4,8.2,0,1,5.5,401.0,71.5,0,3000.0,140.0,8.0,1,2073600.0,3,True,True,4,7,2.0,16.0
0,True,True,False,2016.0,2,295.1,192.0,110.0,9.4,0,5,7.0,170.0,65.3,0,3240.0,130.0,4.0,1,614400.0,0,False,True,7,6,1.0,8.0
0,True,True,False,2016.0,2,152.0,153.9,75.4,7.0,2,0,5.5,401.0,71.9,15,3000.0,200.0,4.0,1,2073600.0,0,False,True,7,7,4.0,64.0
0,True,True,False,2016.0,2,149.0,153.9,75.4,7.0,2,0,5.5,534.0,71.9,0,3000.0,220.0,8.0,1,3686400.0,0,False,True,7,7,3.0,32.0
0,True,True,False,2016.0,2,135.0,147.0,72.5,7.1,2,1,5.2,424.0,69.9,0,2610.0,200.0,8.0,1,2073600.0,0,False,True,7,7,2.0,16.0
0,True,False,False,2016.0,2,179.0,168.5,86.4,8.0,0,1,6.0,184.0,68.2,0,2580.0,120.0,4.0,1,518400.0,0,True,True,7,7,1.0,8.0
0,True,True,False,2016.0,2,174.0,151.9,77.8,9.5,0,5,5.5,267.0,70.6,0,2500.0,120.0,4.0,1,921600.0,0,True,True,7,7,1.0,8.0
0,True,True,False,2015.0,2,167.0,141.0,71.5,9.9,0,5,5.0,196.0,68.3,0,1800.0,110.0,4.0,1,409920.0,0,True,True,7,7,1.0,8.0
